region,center_crs,center_lat,center_lon,target_crs,target_width,target_height
258-greenland_sea-100km,EPSG:4326,77.5329599885405,12.042575142884989,EPSG:3413,100_000,100_000
261-greenland_sea-100km,EPSG:4326,76.64418678475745,-9.806092759897089,EPSG:3413,100_000,100_000
263-greenland_sea-100km,EPSG:4326,77.76663966021515,-4.573921259900861,EPSG:3413,100_000,100_000
270-greenland_sea-100km,EPSG:4326,76.8735186283378,21.80140948635181,EPSG:3413,100_000,100_000
273-greenland_sea-100km,EPSG:4326,77.47838283313693,-1.4878675288277772,EPSG:3413,100_000,100_000
275-greenland_sea-100km,EPSG:4326,76.27711842801723,16.50436138175503,EPSG:3413,100_000,100_000
276-greenland_sea-100km,EPSG:4326,76.5582575023497,-7.640406761026755,EPSG:3413,100_000,100_000
277-greenland_sea-100km,EPSG:4326,77.95694517206176,-2.3215305898327165,EPSG:3413,100_000,100_000
279-greenland_sea-100km,EPSG:4326,79.74039879126664,-1.8183029644518331,EPSG:3413,100_000,100_000
281-greenland_sea-100km,EPSG:4326,78.71389489924283,-15.037815903582244,EPSG:3413,100_000,100_000
283-greenland_sea-100km,EPSG:4326,72.3157169715812,-20.92450174492116,EPSG:3413,100_000,100_000
286-greenland_sea-100km,EPSG:4326,75.87551184467547,17.39332214691204,EPSG:3413,100_000,100_000
287-greenland_sea-100km,EPSG:4326,81.98975669936368,-4.666858371438994,EPSG:3413,100_000,100_000
288-greenland_sea-100km,EPSG:4326,76.8735186283378,21.80140948635181,EPSG:3413,100_000,100_000
290-greenland_sea-100km,EPSG:4326,78.41046704435409,-4.830419958289938,EPSG:3413,100_000,100_000
291-greenland_sea-100km,EPSG:4326,77.09488198221362,-16.837472625676384,EPSG:3413,100_000,100_000
292-greenland_sea-100km,EPSG:4326,79.37206285945503,-11.481991354748091,EPSG:3413,100_000,100_000
296-hudson_bay-100km,EPSG:4326,56.42190772930193,-77.99979032811471,EPSG:3413,100_000,100_000
298-hudson_bay-100km,EPSG:4326,57.853009793119355,-91.98470311215355,EPSG:3413,100_000,100_000
300-hudson_bay-100km,EPSG:4326,63.55458436339211,-84.08193964789238,EPSG:3413,100_000,100_000
301-hudson_bay-100km,EPSG:4326,63.88590190558919,-76.13453331251938,EPSG:3413,100_000,100_000
302-hudson_bay-100km,EPSG:4326,63.95847899545511,-76.820131910619,EPSG:3413,100_000,100_000
311-hudson_bay-100km,EPSG:4326,58.31153967621843,-91.72698775048764,EPSG:3413,100_000,100_000
318-hudson_bay-100km,EPSG:4326,65.85750453306764,-83.11174172300531,EPSG:3413,100_000,100_000
319-hudson_bay-100km,EPSG:4326,60.5258812849436,-78.75095568532569,EPSG:3413,100_000,100_000
320-hudson_bay-100km,EPSG:4326,58.31610451313179,-78.40782458970894,EPSG:3413,100_000,100_000
324-hudson_bay-100km,EPSG:4326,65.33269660448441,-82.13393162710312,EPSG:3413,100_000,100_000
325-hudson_bay-100km,EPSG:4326,64.21239146311544,-77.78068707678064,EPSG:3413,100_000,100_000
329-hudson_bay-100km,EPSG:4326,65.68322733009332,-82.78097917513034,EPSG:3413,100_000,100_000
330-hudson_bay-100km,EPSG:4326,56.47584750128901,-79.91346831534622,EPSG:3413,100_000,100_000
334-hudson_bay-100km,EPSG:4326,64.49461435894949,-81.30869246411515,EPSG:3413,100_000,100_000
339-hudson_bay-100km,EPSG:4326,62.76903867302275,-83.92041104216152,EPSG:3413,100_000,100_000
340-hudson_bay-100km,EPSG:4326,62.30459183704782,-81.35457746574639,EPSG:3413,100_000,100_000
345-laptev_sea-100km,EPSG:4326,75.15856632578773,131.0090869015702,EPSG:3413,100_000,100_000
347-laptev_sea-100km,EPSG:4326,73.54374896880623,108.97040780848654,EPSG:3413,100_000,100_000
348-laptev_sea-100km,EPSG:4326,77.92646285580558,134.4543424065843,EPSG:3413,100_000,100_000
351-laptev_sea-100km,EPSG:4326,74.36255839783523,126.988768387144,EPSG:3413,100_000,100_000
352-laptev_sea-100km,EPSG:4326,76.77416431399567,137.48955292199915,EPSG:3413,100_000,100_000
353-laptev_sea-100km,EPSG:4326,78.06206368404492,142.1934700552955,EPSG:3413,100_000,100_000
360-laptev_sea-100km,EPSG:4326,77.71099327658386,107.71579270637694,EPSG:3413,100_000,100_000
361-laptev_sea-100km,EPSG:4326,77.59624115475634,100.57352341856092,EPSG:3413,100_000,100_000
362-laptev_sea-100km,EPSG:4326,76.26949993393502,115.95876926156066,EPSG:3413,100_000,100_000
363-laptev_sea-100km,EPSG:4326,75.57197451740649,129.0625839005185,EPSG:3413,100_000,100_000
371-laptev_sea-100km,EPSG:4326,78.08849234046849,104.2259638987518,EPSG:3413,100_000,100_000
372-laptev_sea-100km,EPSG:4326,77.40738052640897,101.16488017754858,EPSG:3413,100_000,100_000
377-laptev_sea-100km,EPSG:4326,77.59624115475634,100.57352341856092,EPSG:3413,100_000,100_000
378-laptev_sea-100km,EPSG:4326,78.3246157508427,108.68735150521118,EPSG:3413,100_000,100_000
379-laptev_sea-100km,EPSG:4326,74.39251730726141,127.822754149145,EPSG:3413,100_000,100_000
381-laptev_sea-100km,EPSG:4326,79.02592398285043,105.47863816541836,EPSG:3413,100_000,100_000
382-laptev_sea-100km,EPSG:4326,79.75068045859918,136.93058744116698,EPSG:3413,100_000,100_000
385-laptev_sea-100km,EPSG:4326,76.20870908720792,147.99461679191654,EPSG:3413,100_000,100_000
386-laptev_sea-100km,EPSG:4326,73.88148747666128,143.59122543222762,EPSG:3413,100_000,100_000
387-laptev_sea-100km,EPSG:4326,79.14166589836378,119.63838368815136,EPSG:3413,100_000,100_000
389-laptev_sea-100km,EPSG:4326,79.93234417477997,140.9061411137705,EPSG:3413,100_000,100_000
401-sea_of_okhostk-100km,EPSG:4326,58.32371433262955,153.434948822922,EPSG:3413,100_000,100_000
402-sea_of_okhostk-100km,EPSG:4326,54.38710559023557,147.5092994431321,EPSG:3413,100_000,100_000
403-sea_of_okhostk-100km,EPSG:4326,53.98012171353733,145.5432463946863,EPSG:3413,100_000,100_000
418-sea_of_okhostk-100km,EPSG:4326,54.6399834375134,139.89909245378772,EPSG:3413,100_000,100_000
422-sea_of_okhostk-100km,EPSG:4326,52.82149428937873,147.99461679191654,EPSG:3413,100_000,100_000
431-sea_of_okhostk-100km,EPSG:4326,55.785541738957754,144.61659157004993,EPSG:3413,100_000,100_000
432-sea_of_okhostk-100km,EPSG:4326,56.16221886297233,138.99091309842976,EPSG:3413,100_000,100_000
433-sea_of_okhostk-100km,EPSG:4326,59.60112799780936,155.18286912757316,EPSG:3413,100_000,100_000
435-sea_of_okhostk-100km,EPSG:4326,58.44424237701525,143.82386194304044,EPSG:3413,100_000,100_000
439-sea_of_okhostk-100km,EPSG:4326,55.93280920132567,148.89906309275082,EPSG:3413,100_000,100_000
440-sea_of_okhostk-100km,EPSG:4326,54.18353883231012,140.55049978958294,EPSG:3413,100_000,100_000
441-baffin_bay-100km,EPSG:4326,76.66772154668719,-92.09525256462383,EPSG:3413,100_000,100_000
442-beaufort_sea-100km,EPSG:4326,71.96596819248917,-139.73343833057547,EPSG:3413,100_000,100_000
443-bering_strait-100km,EPSG:4326,65.87000669388078,-179.61803379527095,EPSG:3413,100_000,100_000
444-bering_strait-100km,EPSG:4326,74.02713895156538,-164.69386102591014,EPSG:3413,100_000,100_000
445-bering_strait-100km,EPSG:4326,65.2880031327072,-171.39551840690734,EPSG:3413,100_000,100_000
446-chukchi_east_siberian_seas-100km,EPSG:4326,70.58632586199631,165.03784474567345,EPSG:3413,100_000,100_000
447-chukchi_east_siberian_seas-100km,EPSG:4326,75.82015542618574,150.49927537650083,EPSG:3413,100_000,100_000
448-bering_strait-100km,EPSG:4326,66.52820938656589,-162.43498531270703,EPSG:3413,100_000,100_000
449-bering_strait-100km,EPSG:4326,72.00893308869686,-164.33789365467393,EPSG:3413,100_000,100_000
450-bering_strait-100km,EPSG:4326,62.13404812631506,-178.35402250243595,EPSG:3413,100_000,100_000
451-bering_strait-100km,EPSG:4326,71.89745002129715,-164.96956947656673,EPSG:3413,100_000,100_000
452-hudson_bay-100km,EPSG:4326,65.36933163048317,-87.00686799402092,EPSG:3413,100_000,100_000
453-hudson_bay-100km,EPSG:4326,65.03977915969801,-86.30861401354872,EPSG:3413,100_000,100_000
454-hudson_bay-100km,EPSG:4326,63.09669372294096,-76.21214708367323,EPSG:3413,100_000,100_000
455-hudson_bay-100km,EPSG:4326,58.970952927197125,-82.32758840022045,EPSG:3413,100_000,100_000
456-hudson_bay-100km,EPSG:4326,63.989106575456034,-88.23217294414394,EPSG:3413,100_000,100_000
457-sea_of_okhostk-100km,EPSG:4326,58.58991722765379,154.47421405230625,EPSG:3413,100_000,100_000
458-sea_of_okhostk-100km,EPSG:4326,55.3034061342606,139.25688440821506,EPSG:3413,100_000,100_000
459-sea_of_okhostk-100km,EPSG:4326,54.49142467910185,138.43002844006176,EPSG:3413,100_000,100_000
460-sea_of_okhostk-100km,EPSG:4326,55.3647529767199,137.4090813744723,EPSG:3413,100_000,100_000
461-sea_of_okhostk-100km,EPSG:4326,54.09469089696672,137.67542665602912,EPSG:3413,100_000,100_000
462-sea_of_okhostk-100km,EPSG:4326,54.674582484079735,145.02899806150847,EPSG:3413,100_000,100_000
463-sea_of_okhostk-100km,EPSG:4326,52.52351689452783,148.58185243592965,EPSG:3413,100_000,100_000
464-sea_of_okhostk-100km,EPSG:4326,59.72775118335316,155.73095547282662,EPSG:3413,100_000,100_000
465-sea_of_okhostk-100km,EPSG:4326,57.66080433087346,156.83839836404928,EPSG:3413,100_000,100_000
466-sea_of_okhostk-100km,EPSG:4326,55.31702709953958,142.6068677719718,EPSG:3413,100_000,100_000
